2023-05-26 18:59:15,792 INFO    StreamThr :22636 [internal.py:wandb_internal():89] W&B internal server running at pid: 22636, started at: 2023-05-26 18:59:15.792440
2023-05-26 18:59:15,794 DEBUG   HandlerThread:22636 [handler.py:handle_request():144] handle_request: status
2023-05-26 18:59:15,795 INFO    WriterThread:22636 [datastore.py:open_for_write():85] open: /workspace/FastChat_mlu/wandb/offline-run-20230526_185915-r9h8qlyl/run-r9h8qlyl.wandb
2023-05-26 18:59:17,111 DEBUG   HandlerThread:22636 [handler.py:handle_request():144] handle_request: run_start
2023-05-26 18:59:17,122 DEBUG   HandlerThread:22636 [system_info.py:__init__():31] System info init
2023-05-26 18:59:17,123 DEBUG   HandlerThread:22636 [system_info.py:__init__():46] System info init done
2023-05-26 18:59:17,123 INFO    HandlerThread:22636 [system_monitor.py:start():181] Starting system monitor
2023-05-26 18:59:17,123 INFO    SystemMonitor:22636 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-26 18:59:17,123 INFO    HandlerThread:22636 [system_monitor.py:probe():201] Collecting system info
2023-05-26 18:59:17,123 INFO    SystemMonitor:22636 [interfaces.py:start():190] Started cpu monitoring
2023-05-26 18:59:17,124 INFO    SystemMonitor:22636 [interfaces.py:start():190] Started disk monitoring
2023-05-26 18:59:17,124 INFO    SystemMonitor:22636 [interfaces.py:start():190] Started memory monitoring
2023-05-26 18:59:17,125 INFO    SystemMonitor:22636 [interfaces.py:start():190] Started network monitoring
2023-05-26 18:59:17,176 DEBUG   HandlerThread:22636 [system_info.py:probe():195] Probing system
2023-05-26 18:59:17,179 DEBUG   HandlerThread:22636 [system_info.py:_probe_git():180] Probing git
2023-05-26 18:59:17,187 DEBUG   HandlerThread:22636 [system_info.py:_probe_git():188] Probing git done
2023-05-26 18:59:17,188 DEBUG   HandlerThread:22636 [system_info.py:probe():240] Probing system done
